Date,Close,Open,High,Low,Volume
16/02/2018,43.107498,43.09,43.705002,42.942501,160704400
20/02/2018,42.962502,43.012501,43.564999,42.855,135722000
21/02/2018,42.767502,43.2075,43.529999,42.752499,149886400
22/02/2018,43.125,42.950001,43.487499,42.927502,123967600
23/02/2018,43.875,43.4175,43.912498,43.384998,135249600
26/02/2018,44.7425,44.087502,44.8475,44.052502,152648800
27/02/2018,44.5975,44.775002,45.119999,44.540001,155712400
28/02/2018,44.529999,44.814999,45.154999,44.512501,151128400
01/03/2018,43.75,44.634998,44.945,43.165001,195208000
02/03/2018,44.052502,43.200001,44.075001,43.112499,153816000
05/03/2018,44.205002,43.802502,44.435001,43.630001,113605600
06/03/2018,44.1675,44.477501,44.5625,44.032501,95154000
07/03/2018,43.7575,43.735001,43.962502,43.567501,126814000
08/03/2018,44.235001,43.869999,44.279999,43.767502,95096400
09/03/2018,44.994999,44.490002,45,44.3475,128740800
12/03/2018,45.43,45.072498,45.5975,45.052502,128828400
13/03/2018,44.9925,45.647499,45.875,44.810001,126774000
14/03/2018,44.610001,45.080002,45.130001,44.452499,117473600
15/03/2018,44.662498,44.625,45.060001,44.517502,90975200
16/03/2018,44.505001,44.662498,44.779999,44.404999,157618800
19/03/2018,43.825001,44.330002,44.3675,43.415001,133787200
20/03/2018,43.810001,43.810001,44.200001,43.735001,78597600
21/03/2018,42.817501,43.759998,43.772499,42.814999,148219600
22/03/2018,42.212502,42.5,43.169998,42.150002,165963200
23/03/2018,41.235001,42.0975,42.48,41.235001,164115200
26/03/2018,43.192501,42.017502,43.275002,41.610001,150164800
27/03/2018,42.084999,43.419998,43.787498,41.73,163690400
28/03/2018,41.619999,41.8125,42.505001,41.297501,166674000
29/03/2018,41.945,41.952499,42.9375,41.724998,153594000
02/04/2018,41.669998,41.66,42.235001,41.1175,150347200
03/04/2018,42.0975,41.91,42.1875,41.220001,121112000
04/04/2018,42.9025,41.220001,43.002499,41.192501,138422000
05/04/2018,43.200001,43.145,43.557499,43.02,107732800
06/04/2018,42.095001,42.7425,43.119999,42.049999,140021200
09/04/2018,42.512501,42.470001,43.272499,42.462502,116070800
10/04/2018,43.3125,43.25,43.5,42.8825,113634400
11/04/2018,43.110001,43.057499,43.48,42.924999,89726400
12/04/2018,43.535,43.352501,43.75,43.259998,91557200
13/04/2018,43.682499,43.695,43.959999,43.462502,100497200
16/04/2018,43.955002,43.7575,44.047501,43.7075,86313600
17/04/2018,44.560001,44.122501,44.735001,44.102501,106421600
18/04/2018,44.459999,44.452499,44.705002,44.220001,83018000
19/04/2018,43.200001,43.439999,43.8475,43.165001,139235200
20/04/2018,41.43,42.650002,42.805,41.357498,261964400
23/04/2018,41.310001,41.7075,41.73,41.022499,146062000
24/04/2018,40.735001,41.4175,41.5825,40.305,134768000
25/04/2018,40.912498,40.654999,41.355,40.602501,113528400
26/04/2018,41.055,41.029999,41.432499,40.842499,111852000
27/04/2018,40.580002,41,41.0825,40.157501,142623200
30/04/2018,41.314999,40.532501,41.814999,40.459999,169709600
01/05/2018,42.275002,41.602501,42.299999,41.317501,214277600
02/05/2018,44.142502,43.807499,44.4375,43.450001,266157600
03/05/2018,44.2225,43.970001,44.375,43.610001,136272800
04/05/2018,45.9575,44.5625,46.0625,44.5425,224805200
07/05/2018,46.290001,46.294998,46.9175,46.1875,169805600
08/05/2018,46.512501,46.247501,46.555,45.9175,113611200
09/05/2018,46.84,46.637501,46.849998,46.305,92844800
10/05/2018,47.509998,46.935001,47.592499,46.912498,111957200
11/05/2018,47.147499,47.372501,47.514999,46.862499,104848800
14/05/2018,47.037498,47.252499,47.3825,46.965,83115200
15/05/2018,46.610001,46.695,46.767502,46.275002,94780800
16/05/2018,47.044998,46.517502,47.115002,46.5,76732400
17/05/2018,46.747501,47,47.227501,46.59,69176000
18/05/2018,46.577499,46.797501,46.952499,46.532501,73190800
21/05/2018,46.907501,47,47.317501,46.727501,73603200
22/05/2018,46.790001,47.095001,47.220001,46.695,60962800
23/05/2018,47.09,46.587502,47.125,46.439999,80233600
24/05/2018,47.037498,47.192501,47.209999,46.552502,92936000
25/05/2018,47.145,47.057499,47.412498,46.912498,69844000
29/05/2018,46.974998,46.900002,47.1875,46.717499,90056400
30/05/2018,46.875,46.93,47,46.695,74762000
